,city,hotel_price
0,Amsterdam,166
1,Athens,113
2,Auckland,101
3,Bangkok,77
4,Barcelona,148
5,Beijing,86
6,Berlin,129
7,Bogotá,50
8,Brussels,113
9,Buenos Aires,57
10,Cairo,87
11,Cape Town,94
12,Chicago,168
13,Delhi,51
14,Dubai,134
15,Dublin,163
16,Hong Kong,93
17,Istanbul,72
18,Johannesburg,77
19,Kuala Lumpur,52
20,Las Vegas,124
21,Lima,59
22,Lisbon,107
23,London,150
24,Madrid,111
25,Manila,76
26,Marrakech,134
27,Melbourne,119
28,Mexico City,64
29,Miami,101
30,Moscow,62
31,Mumbai,64
32,New York,222
33,Paris,173
34,Tokyo,134
35,Los Angeles,210
36,Rio de Janeiro,73
37,Seoul,94
38,Toronto,156
39,Sydney,130
40,Rome,115
41,Munich,129
42,Abu Dhabi,145
